市町村コード,都道府県名,市町村名,区分,指定都市区分,該当法令,照合済み法令,三大都市圏,人口減少率例外,区域の旧市町村,備考
01100,北海道,札幌市,都市地域,条件不利地域を含まない,,,0,0,,地域要件確認表による
01202,北海道,函館市,全部条件不利地域,該当なし,,,0,0,過疎:戸井町・恵山町・椴法華村・南茅部町,地域要件確認表による|過疎法の経過措置を受ける卒業団体
01203,北海道,小樽市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01204,北海道,旭川市,一部条件不利地域,該当なし,過疎|山村|離島|半島,,0,0,,地域要件確認表による
01205,北海道,室蘭市,都市地域,該当なし,,,0,0,,地域要件確認表による
01206,北海道,釧路市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01207,北海道,帯広市,都市地域,該当なし,,,0,0,,地域要件確認表による
01208,北海道,北見市,一部条件不利地域,該当なし,過疎|山村|離島|半島,,0,0,過疎:常呂町・端野町・留辺蘂町,地域要件確認表による
01209,北海道,夕張市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01210,北海道,岩見沢市,一部条件不利地域,該当なし,過疎|山村|離島|半島,,0,0,過疎:北村・栗沢町,地域要件確認表による
01211,北海道,網走市,都市地域,該当なし,,,0,0,,地域要件確認表による
01212,北海道,留萌市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01213,北海道,苫小牧市,都市地域,該当なし,,,0,0,,地域要件確認表による
01214,北海道,稚内市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01215,北海道,美唄市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01216,北海道,芦別市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01217,北海道,江別市,都市地域,該当なし,,,0,0,,地域要件確認表による
01218,北海道,赤平市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01219,北海道,紋別市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01220,北海道,士別市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01221,北海道,名寄市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01222,北海道,三笠市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01223,北海道,根室市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01224,北海道,千歳市,都市地域,該当なし,,,0,0,,地域要件確認表による
01225,北海道,滝川市,都市地域,該当なし,,,0,0,,地域要件確認表による
01226,北海道,砂川市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01227,北海道,歌志内市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01228,北海道,深川市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01229,北海道,富良野市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01230,北海道,登別市,都市地域,該当なし,,,0,0,,地域要件確認表による
01231,北海道,恵庭市,都市地域,該当なし,,,0,0,,地域要件確認表による
01233,北海道,伊達市,一部条件不利地域,該当なし,過疎|山村|離島|半島,,0,0,過疎:大滝村,地域要件確認表による
01234,北海道,北広島市,都市地域,該当なし,,,0,0,,地域要件確認表による
01235,北海道,石狩市,一部条件不利地域,該当なし,過疎|山村|離島|半島,,0,0,過疎:厚田村・浜益村,地域要件確認表による
01236,北海道,北斗市,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01303,北海道,当別町,都市地域,該当なし,,,0,0,,地域要件確認表による
01304,北海道,新篠津村,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01331,北海道,松前町,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01332,北海道,福島町,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
01333,北海道,知内町,全部条件不利地域,該当なし,,,0,0,,地域要件確認表による
