都道府県名,市町村名,過疎区分,みなされる区域,旧法下の区分
北海道,函館市,一部過疎,戸井町|恵山町|椴法華村|南茅部町,一部過疎
北海道,小樽市,全部過疎,,全部過疎
北海道,釧路市,みなし過疎,,みなし過疎
北海道,北見市,一部過疎,常呂町|端野町|留辺蘂町,一部過疎
北海道,夕張市,全部過疎,,全部過疎
北海道,岩見沢市,一部過疎,北村|栗沢町,一部過疎
北海道,留萌市,全部過疎,,全部過疎
北海道,稚内市,全部過疎,,全部過疎
北海道,美唄市,全部過疎,,全部過疎
北海道,芦別市,全部過疎,,全部過疎
北海道,赤平市,全部過疎,,全部過疎
北海道,紋別市,全部過疎,,全部過疎
北海道,士別市,全部過疎,,全部過疎
北海道,名寄市,全部過疎,,全部過疎
北海道,三笠市,全部過疎,,全部過疎
北海道,根室市,全部過疎,,全部過疎
北海道,砂川市,全部過疎,,全部過疎
北海道,歌志内市,全部過疎,,全部過疎
北海道,深川市,全部過疎,,全部過疎
北海道,富良野市,全部過疎,,非該当
北海道,伊達市,一部過疎,大滝村,一部過疎
北海道,石狩市,一部過疎,厚田村|浜益村,一部過疎
北海道,新篠津村,全部過疎,,非該当
北海道,松前町,全部過疎,,全部過疎
北海道,福島町,全部過疎,,全部過疎
北海道,知内町,全部過疎,,全部過疎
北海道,木古内町,全部過疎,,全部過疎
北海道,鹿部町,全部過疎,,非該当
北海道,森町,全部過疎,,全部過疎
北海道,八雲町,全部過疎,,全部過疎
北海道,長万部町,全部過疎,,全部過疎
北海道,江差町,全部過疎,,全部過疎
北海道,上ノ国町,全部過疎,,全部過疎
北海道,厚沢部町,全部過疎,,全部過疎
北海道,乙部町,全部過疎,,全部過疎
北海道,奥尻町,全部過疎,,全部過疎
北海道,今金町,全部過疎,,全部過疎
北海道,せたな町,全部過疎,,全部過疎
北海道,島牧村,全部過疎,,全部過疎
北海道,寿都町,全部過疎,,全部過疎
北海道,黒松内町,全部過疎,,全部過疎
北海道,蘭越町,全部過疎,,全部過疎
北海道,ニセコ町,全部過疎,,全部過疎
北海道,真狩村,全部過疎,,全部過疎
北海道,留寿都村,全部過疎,,全部過疎
北海道,喜茂別町,全部過疎,,全部過疎
北海道,共和町,全部過疎,,全部過疎
